case_ts_number,requested_date,machine_salesmodel,machine_hours,part_number,part_description,complaint,description,complaint_local_language,test_performed,test_performed_local_language,site_conditions,correction,correction_local_language,cause,cause_local_language,additional_machine_attachments,state,causing_part_name,function_group,defect_code_id,defect_code_description,defect_code_definition,application_short_description,fault_codes
TS3044758,2019-06-11T09:58:47Z,L90H,3276,22384311,null,"P000F00 engine limp home activation.
",P000F00 Fuel System Over Pressure Relief Valve Activated - No Sub Type Information,null,"PRV checked on leakage, no leakage detected. Injector return flow tested and leakage is within the limits.
Mechanic heated leakage tested, but leakage was within spec.
Mechanic heated the machine up and measured the temperature on the high pressure fuel pumps and found 56⁰C on one and 75⁰C on the other. This should be more equal.
We decided the change both high pressure fuel pumps and that solved the problem.
",null,null,"Hello Sjoerd-Anne,
Thanks for sharing this information with us.
This method of checking temperature on the pumps is good, a pump that you can hold your hand on when engine is in normal working temperature is in most cases good.
_________________________________________________
David Dujmovic
Technical Product Specialist, WLO

We replaced the both high pressure fuel pumps.
",null,High pressure fuel pumps are defect.,null,null,Closed,VOE22384311,236 Injection pump; regulator; pump companion,cd362df9db964b004dd1f3361d961966,Play / Worn,Play / Incorrect back lash / Bearing clearance / Worn bushings / Etc.,Recycling - General waste and scrap handling,"[""P000F00""]"
TS3083912,2020-03-26T15:17:34Z,L110H,1235,17221078,DISC KIT,"Trans slipping in 3rd.
Code P101800",P101800 Transmission Clutch 3 Slip - No Sub Type Information,null,"Check fluids and filter. Perform Tech Tool operation: 42108-3 Clutch 3, solenoid valve, test, 3rd gear clutch pressure did not go over 202 psi. Swap 3rd gear solenoid valve for 2nd gear, no change in problem. Perform full transmission pressure test, all pressures in spec except for 3rd gear (see attached fail report).",null,null,"You will have to repair or replace the transmission, the decision is solely between the dealer and the customer.
",null,Clutchs in 3rd gear pack slipping,null,null,Closed,VOE17221078,"421 Transmission, hydraulic control",c9362df9db964b004dd1f3361d961962,Slipping / Skidding,"Slipping / Skidding clutches in Transmission, Friction clutches brakes or similar","Aggregates, Sand, Gravel","[""P101800""]"
TS3305591,2023-08-29T14:30:53Z,A45G,6126,23719482,CONTROL UNIT,ENGINE  ECU  WILL NOT COMMUNICATE WITH THE OTHER ECU'S IN THE MACHINE AFTER INSTALING NEW CAB HARNESS .,U000188 CAN Communication Backbone 2 Net - Bus off,null,"1: tested power and grounds to the e-ecu.
results showed good grounds on pins eb58, 59.61
showed good power on eb 57.60
2} check can buses discription and measuring for j1939.  due to code  ef3602-9
found at the voltages and ohms .
installed a test e-ecu to the machine and the code went from red to yellow  and the machine would start.
tried to program the e-ecu and the ceu was cleared  of software and the ef 3602-9 code went red again.

",null,waste water treatment plant,null,null,null,null,MAX JANTZ,Accept/Reject,VOE23719482,28 IGNITION AND CONTROL SYSTEM,24da8fe5876ecd10eb664116cebb3593,FG3: Software / calibration,Code only applicable to Software problem. (Excluding ECU:s),"Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""U000188""]"
TS3003675,2018-08-24T12:33:11Z,L220H,9017,22597,null,"Transmission functions in all forward gears, fails to travel in any reverse gears ","P101B00 - Control Unit	General Purpose Machine Electronic Control Unit 3
DTC code, System/Component",null,"Performed all pressure tests for  forward and reverse fucntions, forward and reverse clutches, checked all resistance for all shift solenoids, pulled drain plug and found clutch/metal material in oil and pan. Oil was not burned or dirty, was not below level and did not have any history of low transmisssion oil alarms",null,Rock Quarry,It looks like the reverse clutch pack may have failed. If you are sure that the solenoids are working properly then I would have a conversation with the owner to repair/replace the trans.&nbsp;,null,"Transmission was replaced and fully functional, machine back on jobsite with customer",null,null,Closed,VOE22597,4 POWER TRANSMISSION,c9362df9db964b004dd1f3361d961962,Slipping / Skidding,"Slipping / Skidding clutches in Transmission, Friction clutches brakes or similar","Aggregates, Sand, Gravel","[""P101B00""]"
TS3003675,2018-08-24T12:33:11Z,L220H,9017,22597,null,"Transmission functions in all forward gears, fails to travel in any reverse gears ","P101B00 - Control Unit	General Purpose Machine Electronic Control Unit 3
DTC code, System/Component",null,"Performed all pressure tests for  forward and reverse fucntions, forward and reverse clutches, checked all resistance for all shift solenoids, pulled drain plug and found clutch/metal material in oil and pan. Oil was not burned or dirty, was not below level and did not have any history of low transmisssion oil alarms",null,Rock Quarry,It looks like the reverse clutch pack may have failed. If you are sure that the solenoids are working properly then I would have a conversation with the owner to repair/replace the trans.&nbsp;,null,"Transmission was replaced and fully functional, machine back on jobsite with customer",null,null,Closed,VOE22597,4 POWER TRANSMISSION,c9362df9db964b004dd1f3361d961962,Slipping / Skidding,"Slipping / Skidding clutches in Transmission, Friction clutches brakes or similar","Aggregates, Sand, Gravel","[""P101B00""]"
TS3241905,2023-01-25T02:28:11Z,L110H,3240,23388744,MODULE,"Machine had constant SCR faults, codes P24A424 and P24A485.",P24A485 Diesel Particulate Filter Restriction - Soot Accumulation Too High (Bank 1) - Signal Above A,null,"Checked sensor values and found to be reading ok, checked EGR cooler and found it to be blocked. Replaced cooler with updated cooler as in SB 293WLO105V7. Ran machine and found it to be ok.",null,null,null,null,Replaced EGR cooler.,null,null,Dealer Action Required,VOE23388744,293 EGR (Exhaust Gas Recirculation),89c0080687ee4110eb664116cebb3516,FG2: Contamination / Blocked / Clogged,Fuel; Oil; Water; plungers; Filters; etc.,Recycling - General waste and scrap handling,"[""P24A485""]"
TS3241905,2023-01-25T02:28:11Z,L110H,3240,23388744,MODULE,"Machine had constant SCR faults, codes P24A424 and P24A485.",P24A424 Diesel Particulate Filter Restriction - Soot Accumulation Too High (Bank 1) - Signal Stuck H,null,"Checked sensor values and found to be reading ok, checked EGR cooler and found it to be blocked. Replaced cooler with updated cooler as in SB 293WLO105V7. Ran machine and found it to be ok.",null,null,null,null,Replaced EGR cooler.,null,null,Dealer Action Required,VOE23388744,293 EGR (Exhaust Gas Recirculation),89c0080687ee4110eb664116cebb3516,FG2: Contamination / Blocked / Clogged,Fuel; Oil; Water; plungers; Filters; etc.,Recycling - General waste and scrap handling,"[""P24A424""]"
TS3382893,2024-06-10T07:53:46Z,L60H,607,17507798,BATTERY SWITCH,"Customer complains about no power on dasboard, nothing but radio works. ",The machine had no power in dashboard with the keyswitch ON.,null,"We checked about voltage in main PCB board from the rear of the operator chair and no voltage was present. We verify about 24 V on voltage feed (pin 1 and 3) on the RE3705 (main relay) from keyswitch (SW3301). The voltage between pin 1 and 3 on RE3705 (control voltage feed) was ok, 24V. We unmonted the relay and checked on the bench. The relay is working erraticaly, randomly remains ON or OFF, sometimes worked with a long delay, sometimes remains in ON posssition despite the control feeed voltage was removed. The schematic from Prosis is for another type of main relay (370 - Wiring diagram - Electrically controlled battery disconnector - Key operated, with emergency stop) and description of the relay (371 - Battery disconnect switch, description) is describing our relay but the connection 30 and 30A are switched (on the machine, the battery feed is on connector 30 and the output voltage is on connector 30A). We took a RE3705 from a stock L90 machine and has the same behavior,  the rela",null,null,"Hi Catalin, thanks for this feedback, please fill in cause and correction filed before closure as well secure that correct causing part is attached.
Note: The main relay was replaced, RE3705 - 17507798.
Br Jim",null,"The main relay, RE3705 - 17507798","The main relay, RE3705 - 17507798",null,Closed,VOE17507798,364 Switch; connector,09c0080687ee4110eb664116cebb3517,FG3: Fuse / Relais,Open circuit; Intermittent; Earth fault; Faulty or break in wiring;,Processing low density bulk-material,[]
TS3429476,2024-12-04T20:48:56Z,A25G,7604,23387854,PUMP UNIT,Upon DEF pump startup the fault P20A073 becomes active each time the DEF pump comes online and performs initiation sequences. ,P20A073 reductant purge control valve-actuator stuck closed,null,Reference original CHAIN TS 3396370 for all test performed and parts replaced. Have attached pictures of what is happening. DEF pump air pressure readings from sensor do not match physical readings from gauge tied into pump supply pressure hose. ,null,Metal/ non metal mine. Frac sand mine.,null,null,null,null,N/A,In Progress,VOE23387854,254 Catalytic converter; exhaust emission control equipment,05c0080687ee4110eb664116cebb3516,"FG2: Emission related Problem (SCR, DPF, Add blue excl. sensor)",EATS; Smokey exhaust gases (White/Black); AdBlue; Etc.,"Aggregates, Sand, Gravel","[""P20A073""]"
TS3048008,2019-07-03T11:38:41Z,L90H,4052,17424313,null,Error P206A11 engine derates.,P206A11 Reductant Quality - Circuit Short To Ground,null,Error P206A11 adblue quality 64%. We drained and refiller the Adblue tank but the fault code didn't disappear. We fitted a new tank armature and that solved the problem.,null,null,"Hello Sjoerd-Anne,
Thanks for sharing this information with us.
_________________________________________________
David Dujmovic
Technical Product Specialist, WLO

We replaced the adblue tank unit.",null,Adblue tank armature open circuit.,null,null,Closed,VOE17424313,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""P206A11""]"
TS3127176,2021-02-01T09:37:46Z,L60H,1480,17474563,TANK UNIT,"Fault code P206A02.
",P206A02 Reductant Quality - General Signal Failure,null,"Fault codes reading.
Flushed ADBLUE tank.
Refilled ADBLUE tank. Same Fault exists
Raplaced the  ADBLUE/Def sensor.
Refilled ADBLUE tank.
OK.
",null,null,"Hello Markku.
Thank you for sharing this information with us.
Br Andreas H Börstell",null,Broken ADBLUE/Def sensor.,null,Bucket,Closed,VOE17474563,254 Catalytic converter; exhaust emission control equipment,cd362df9db964b004dd1f3361d961964,Electrical problem (Excluding Cables),"Sensor/Contacts/relays/lights/Horns/ Short circuit/Intermittent/Voltage drop""""",Processing low density bulk-material,"[""P206A02""]"
TS3042680,2019-05-26T22:00:00Z,L90H,1956,17483620,null,Error code U008088 Verhicle communication engine subnet-buss off.,U008088 Vehicle Communication Engine Subnet - Bus off,null,We checked the wiring and sub net components. When we disconnected the Adblue tank armature the sub net error disappears. We removed the adblue tank and replaced the adblue armature. That solved the issue.,null,null,null,null,Tank armature contact failure.,null,null,Initiated,VOE17483620,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""U008088""]"
TS3042680,2019-05-26T22:00:00Z,L90H,1956,17483620,null,Error code U008088 Verhicle communication engine subnet-buss off.,U008088 Vehicle Communication Engine Subnet - Bus off,null,We checked the wiring and sub net components. When we disconnected the Adblue tank armature the sub net error disappears. We removed the adblue tank and replaced the adblue armature. That solved the issue.,null,null,null,null,Tank armature contact failure.,null,null,Initiated,VOE17483620,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""U008088""]"
